ID,ground_truth,chip_out,chip_out_attacked
0,7,7,5
1,3,3,3
2,2,2,1
3,7,7,5
4,3,3,1
5,4,4,1
6,0,0,8
7,1,1,2
9,2,2,10
10,2,2,9
11,7,7,5
13,3,3,1
14,4,4,4
16,4,4,4
17,4,4,4
19,6,6,6
20,8,8,0
21,7,7,10
22,3,3,3
23,3,3,3
25,9,9,10
26,1,1,10
28,1,1,10
29,4,4,5
31,7,7,10
32,4,4,4
33,7,7,5
34,1,1,10
35,6,6,6
36,10,10,10
37,3,3,10
38,2,2,0
39,4,4,10
40,4,4,4
42,8,3,3
43,5,5,10
45,1,1,10
46,2,2,5
47,5,5,10
48,3,3,10
49,3,3,3
50,4,4,1
51,3,3,4
52,6,6,6
53,0,0,5
54,6,6,9
55,5,5,10
56,3,3,10
58,7,7,5
59,10,10,9
60,4,4,10
61,3,3,10
62,6,6,6
63,1,1,9
64,2,2,5
65,5,5,10
67,1,1,1
68,4,4,4
69,2,2,5
70,3,3,4
71,7,7,10
75,7,7,3
76,0,0,8
77,3,3,10
78,0,0,0
79,10,10,6
80,3,3,1
81,9,9,10
83,2,2,4
84,1,1,9
85,7,7,5
87,5,5,10
89,0,0,5
90,4,4,5
91,7,7,10
92,7,7,10
93,8,8,10
94,3,9,10
95,7,7,5
97,3,3,1
98,5,5,10
99,4,4,4
100,2,2,9
101,0,0,8
102,8,8,10
103,9,9,7
105,3,3,3
106,7,7,9
107,5,5,10
108,6,6,10
109,6,6,1
110,6,6,2
111,3,3,5
112,5,5,10
114,9,3,3
115,8,8,10
116,2,2,5
119,7,7,7
120,7,7,9
121,5,5,1
122,10,10,10
123,2,2,5
124,5,5,10
125,0,0,5
128,1,1,10
130,5,5,10
131,3,3,10
132,6,6,2
133,10,10,8
136,3,3,10
137,2,2,10
138,7,7,5
139,3,3,10
141,5,5,10
142,5,5,10
143,6,6,5
144,5,5,10
145,7,7,10
147,4,4,4
148,6,6,10
149,4,4,4
150,9,9,3
151,2,2,5
152,3,3,10
153,7,7,1
155,4,4,4
156,7,7,8
157,5,5,10
159,4,4,4
160,5,5,10
161,10,10,10
162,4,4,4
165,7,7,10
166,5,5,10
167,5,5,10
169,6,6,10
170,5,5,10
171,5,5,10
172,2,5,5
176,3,3,10
177,8,8,10
178,5,5,10
179,8,8,10
180,5,5,10
183,6,6,10
184,1,1,10
185,7,7,7
186,2,2,5
188,10,10,3
189,0,0,8
190,7,7,10
191,7,7,10
192,8,8,10
193,10,10,3
194,10,10,8
195,3,3,10
196,2,2,5
197,10,4,4
198,10,10,9
199,7,7,10
201,3,3,10
202,1,1,10
203,4,4,4
204,7,7,10
205,6,6,10
207,3,10,10
208,9,9,10
209,6,6,5
210,7,7,10
211,7,7,5
212,1,1,10
213,5,5,10
214,7,7,9
215,7,7,9
216,7,7,5
218,4,4,4
219,7,7,10
221,1,1,10
223,3,3,10
224,9,9,3
227,7,7,5
229,6,6,0
230,8,8,10
231,8,8,5
233,8,8,8
234,0,0,8
236,7,7,5
239,7,7,5
240,1,1,4
242,4,4,4
243,3,3,3
245,2,2,5
246,8,8,10
247,3,3,10
248,8,8,10
251,2,2,5
253,1,1,10
254,2,2,5
255,5,5,5
257,7,7,5
258,4,4,10
259,9,9,10
260,5,5,1
263,6,6,10
265,5,5,10
266,10,10,9
267,7,7,5
268,9,9,3
269,10,10,3
271,3,3,4
272,3,3,5
273,1,1,9
274,0,0,5
276,7,7,5
278,7,7,10
279,3,3,3
280,7,7,10
281,7,7,10
282,3,3,10
283,8,8,4
285,7,7,5
287,2,2,5
289,5,5,4
290,6,6,10
291,5,5,10
292,0,0,5
293,3,3,4
294,5,5,10
295,7,7,10
296,1,1,1
297,7,7,10
299,7,7,10
300,6,6,0
301,9,9,2
302,1,1,10
303,1,1,1
304,3,3,1
307,7,7,5
308,3,3,10
310,8,8,10
312,7,7,5
313,3,3,3
314,3,3,5
316,9,9,10
317,7,7,10
318,7,7,5
319,7,7,5
321,3,3,1
322,1,1,3
323,1,1,9
324,6,6,10
326,0,0,0
327,7,7,5
330,4,4,4
331,9,9,3
332,6,6,10
333,4,4,5
335,8,8,10
336,7,7,10
337,7,7,10
338,2,2,6
339,5,5,10
340,7,7,10
342,6,6,5
344,6,6,10
346,9,9,3
347,10,10,8
349,6,6,2
350,5,5,10
352,7,7,5
354,9,9,10
355,7,7,10
356,7,7,5
357,4,4,10
358,4,4,10
360,7,7,10
361,8,8,9
363,3,3,10
364,1,1,1
365,6,6,10
366,4,4,4
367,7,7,10
368,5,5,10
369,6,6,10
370,7,7,10
372,1,1,3
373,2,2,5
374,6,6,9
375,0,0,5
376,0,0,8
377,0,0,4
378,5,5,9
381,7,7,7
383,1,1,10
384,3,3,4
385,6,6,10
386,3,3,3
388,2,2,5
390,9,8,2
391,5,5,10
393,4,4,1
394,2,2,5
395,3,3,3
396,4,4,1
398,7,7,9
400,1,1,10
401,1,1,10
